,yeardate,monthday,depth_2001,depth_2001_diff,depth_2001_anom,depth_2002,depth_2002_diff,depth_2002_anom,depth_2003,depth_2003_diff,depth_2003_anom,depth_2004,depth_2004_diff,depth_2004_anom,depth_2005,depth_2005_diff,depth_2005_anom,depth_2006,depth_2006_diff,depth_2006_anom,depth_2007,depth_2007_diff,depth_2007_anom,depth_2008,depth_2008_diff,depth_2008_anom,depth_2009,depth_2009_diff,depth_2009_anom,depth_2010,depth_2010_diff,depth_2010_anom,depth_2011,depth_2011_diff,depth_2011_anom,depth_2012,depth_2012_diff,depth_2012_anom,depth_2013,depth_2013_diff,depth_2013_anom,depth_2014,depth_2014_diff,depth_2014_anom,depth_2015,depth_2015_diff,depth_2015_anom,depth_2016,depth_2016_diff,depth_2016_anom,depth_2017,depth_2017_diff,depth_2017_anom,depth_2018,depth_2018_diff,depth_2018_anom,depth_2019,depth_2019_diff,depth_2019_anom
2000-04-01,2000-04-01,04-01,93.16,0.0,-104.26385866166353,84.13333333333333,0.0,-113.2905253283302,124.0,0.0,-73.42385866166353,129.0,0.0,-68.42385866166353,149.0,0.0,-48.42385866166353,179.0,0.0,-18.42385866166353,138.0,0.0,-59.42385866166353,123.0,0.0,-74.42385866166353,165.0,0.0,-32.42385866166353,176.0,0.0,-21.42385866166353,164.0,0.0,-33.42385866166353,149.0,0.0,-48.42385866166353,155.0,0.0,-42.42385866166353,178.0,0.0,-19.42385866166353,194.0,0.0,-3.4238586616635303,178.0,0.0,-19.42385866166353,205.0,0.0,7.57614133833647,196.0,0.0,-1.4238586616635303,213.0,0.0,15.57614133833647
2000-04-02,2000-04-02,04-02,93.61333333333333,0.45333333333333314,-103.8105253283302,84.76666666666667,0.63333333333334,-112.65719199499686,123.0,-1.0,-74.42385866166353,130.0,1.0,-67.42385866166353,149.0,0.0,-48.42385866166353,178.0,-1.0,-19.42385866166353,139.0,1.0,-58.42385866166353,123.0,0.0,-74.42385866166353,165.0,0.0,-32.42385866166353,177.0,1.0,-20.42385866166353,164.0,0.0,-33.42385866166353,149.0,0.0,-48.42385866166353,156.0,1.0,-41.42385866166353,178.0,0.0,-19.42385866166353,192.0,-2.0,-5.42385866166353,177.0,-1.0,-20.42385866166353,206.0,1.0,8.57614133833647,195.0,-1.0,-2.4238586616635303,213.0,0.0,15.57614133833647
2000-04-03,2000-04-03,04-03,94.06666666666666,0.9066666666666663,-103.35719199499687,85.4,1.26666666666668,-112.02385866166352,124.0,0.0,-73.42385866166353,131.0,2.0,-66.42385866166353,150.0,1.0,-47.42385866166353,178.0,-1.0,-19.42385866166353,138.0,0.0,-59.42385866166353,123.0,0.0,-74.42385866166353,165.0,0.0,-32.42385866166353,177.0,1.0,-20.42385866166353,164.0,0.0,-33.42385866166353,150.0,1.0,-47.42385866166353,156.0,1.0,-41.42385866166353,178.0,0.0,-19.42385866166353,190.0,-4.0,-7.42385866166353,177.0,-1.0,-20.42385866166353,207.0,2.0,9.57614133833647,194.0,-2.0,-3.4238586616635303,214.0,1.0,16.57614133833647
2000-04-04,2000-04-04,04-04,94.52,1.3599999999999994,-102.90385866166353,86.03333333333333,1.9000000000000057,-111.3905253283302,124.0,0.0,-73.42385866166353,132.0,3.0,-65.42385866166353,151.0,2.0,-46.42385866166353,178.0,-1.0,-19.42385866166353,140.0,2.0,-57.42385866166353,123.0,0.0,-74.42385866166353,166.0,1.0,-31.42385866166353,177.0,1.0,-20.42385866166353,166.0,2.0,-31.42385866166353,151.0,2.0,-46.42385866166353,157.0,2.0,-40.42385866166353,179.0,1.0,-18.42385866166353,189.0,-5.0,-8.42385866166353,178.0,0.0,-19.42385866166353,207.0,2.0,9.57614133833647,193.0,-3.0,-4.42385866166353,214.0,1.0,16.57614133833647
2000-04-05,2000-04-05,04-05,94.97333333333333,1.8133333333333326,-102.4505253283302,86.66666666666667,2.5333333333333456,-110.75719199499686,123.0,-1.0,-74.42385866166353,132.0,3.0,-65.42385866166353,152.0,3.0,-45.42385866166353,177.0,-2.0,-20.42385866166353,142.0,4.0,-55.42385866166353,122.0,-1.0,-75.42385866166353,166.0,1.0,-31.42385866166353,178.0,2.0,-19.42385866166353,167.0,3.0,-30.42385866166353,152.0,3.0,-45.42385866166353,157.0,2.0,-40.42385866166353,180.0,2.0,-17.42385866166353,189.0,-5.0,-8.42385866166353,179.0,1.0,-18.42385866166353,207.0,2.0,9.57614133833647,194.0,-2.0,-3.4238586616635303,215.0,2.0,17.57614133833647
2000-04-06,2000-04-06,04-06,95.42666666666666,2.2666666666666657,-101.99719199499687,87.3,3.1666666666666714,-110.12385866166353,124.0,0.0,-73.42385866166353,132.0,3.0,-65.42385866166353,150.0,1.0,-47.42385866166353,177.0,-2.0,-20.42385866166353,142.0,4.0,-55.42385866166353,119.0,-4.0,-78.42385866166353,166.0,1.0,-31.42385866166353,177.0,1.0,-20.42385866166353,167.0,3.0,-30.42385866166353,152.0,3.0,-45.42385866166353,158.0,3.0,-39.42385866166353,181.0,3.0,-16.42385866166353,188.0,-6.0,-9.42385866166353,179.0,1.0,-18.42385866166353,208.0,3.0,10.57614133833647,194.0,-2.0,-3.4238586616635303,216.0,3.0,18.57614133833647
2000-04-07,2000-04-07,04-07,95.88,2.719999999999999,-101.54385866166353,87.93333333333334,3.8000000000000114,-109.4905253283302,124.0,0.0,-73.42385866166353,133.0,4.0,-64.42385866166353,152.0,3.0,-45.42385866166353,177.0,-2.0,-20.42385866166353,144.0,6.0,-53.42385866166353,119.0,-4.0,-78.42385866166353,166.0,1.0,-31.42385866166353,177.0,1.0,-20.42385866166353,167.0,3.0,-30.42385866166353,153.0,4.0,-44.42385866166353,159.0,4.0,-38.42385866166353,181.0,3.0,-16.42385866166353,188.0,-6.0,-9.42385866166353,180.0,2.0,-17.42385866166353,209.0,4.0,11.57614133833647,192.0,-4.0,-5.42385866166353,217.0,4.0,19.57614133833647
2000-04-08,2000-04-08,04-08,96.33333333333333,3.173333333333332,-101.0905253283302,88.56666666666666,4.433333333333337,-108.85719199499687,124.0,0.0,-73.42385866166353,132.0,3.0,-65.42385866166353,154.0,5.0,-43.42385866166353,175.0,-4.0,-22.42385866166353,145.0,7.0,-52.42385866166353,119.0,-4.0,-78.42385866166353,167.0,2.0,-30.42385866166353,178.0,2.0,-19.42385866166353,168.0,4.0,-29.42385866166353,154.0,5.0,-43.42385866166353,158.0,3.0,-39.42385866166353,182.0,4.0,-15.42385866166353,188.0,-6.0,-9.42385866166353,180.0,2.0,-17.42385866166353,210.0,5.0,12.57614133833647,192.0,-4.0,-5.42385866166353,218.0,5.0,20.57614133833647
2000-04-09,2000-04-09,04-09,96.78666666666666,3.626666666666665,-100.63719199499687,89.2,5.066666666666677,-108.22385866166353,125.0,1.0,-72.42385866166353,131.0,2.0,-66.42385866166353,155.0,6.0,-42.42385866166353,176.0,-3.0,-21.42385866166353,145.0,7.0,-52.42385866166353,119.0,-4.0,-78.42385866166353,168.0,3.0,-29.42385866166353,178.0,2.0,-19.42385866166353,169.0,5.0,-28.42385866166353,153.0,4.0,-44.42385866166353,159.0,4.0,-38.42385866166353,182.0,4.0,-15.42385866166353,188.0,-6.0,-9.42385866166353,180.0,2.0,-17.42385866166353,210.0,5.0,12.57614133833647,192.0,-4.0,-5.42385866166353,218.0,5.0,20.57614133833647
2000-04-10,2000-04-10,04-10,97.24,4.079999999999998,-100.18385866166354,89.83333333333334,5.700000000000017,-107.59052532833019,125.0,1.0,-72.42385866166353,130.0,1.0,-67.42385866166353,156.0,7.0,-41.42385866166353,176.0,-3.0,-21.42385866166353,146.0,8.0,-51.42385866166353,119.0,-4.0,-78.42385866166353,168.0,3.0,-29.42385866166353,178.0,2.0,-19.42385866166353,170.0,6.0,-27.42385866166353,153.0,4.0,-44.42385866166353,160.0,5.0,-37.42385866166353,182.0,4.0,-15.42385866166353,188.0,-6.0,-9.42385866166353,181.0,3.0,-16.42385866166353,211.0,6.0,13.57614133833647,193.0,-3.0,-4.42385866166353,219.0,6.0,21.57614133833647
