start,end(inc.),duration(days),tropic._days,MaxTemp(C),MaxTempDate,HeatwaveNumber
2001-08-22 00:00:00,2001-08-26 00:00:00,5,3,31.1,2001-08-25 00:00:00,24.0
2003-07-31 00:00:00,2003-08-13 00:00:00,14,7,35.0,2003-08-07 00:00:00,67.4
2004-08-02 00:00:00,2004-08-11 00:00:00,10,3,32.5,2004-08-09 00:00:00,35.1
2005-06-18 00:00:00,2005-06-24 00:00:00,7,3,32.8,2005-06-20 00:00:00,28.5
2006-06-30 00:00:00,2006-07-06 00:00:00,7,3,32.0,2006-07-04 00:00:00,31.7
2006-07-15 00:00:00,2006-07-30 00:00:00,16,8,35.7,2006-07-19 00:00:00,85.8
2013-07-21 00:00:00,2013-07-27 00:00:00,7,3,32.6,2013-07-22 00:00:00,27.8
2015-06-30 00:00:00,2015-07-05 00:00:00,6,3,33.1,2015-07-01 00:00:00,33.5
2018-07-15 00:00:00,2018-07-27 00:00:00,13,4,35.7,2018-07-26 00:00:00,52.7
2018-07-29 00:00:00,2018-08-07 00:00:00,10,4,33.9,2018-08-07 00:00:00,40.9
2019-07-22 00:00:00,2019-07-27 00:00:00,6,4,37.5,2019-07-25 00:00:00,48.2
2019-08-23 00:00:00,2019-08-28 00:00:00,6,3,32.8,2019-08-27 00:00:00,28.3
2020-08-05 00:00:00,2020-08-17 00:00:00,13,9,34.6,2020-08-08 00:00:00,79.6
