,LE,ET,LE/ET
2001-01-08,32.95333333333333,,
2001-01-09,,,
2001-01-10,33.47985416666666,,
2001-01-11,,,
2001-01-12,5.666833333333333,,
2001-01-13,8.856835933333333,,
2001-01-14,19.11711111111111,,
2001-01-15,11.571857142857143,,
2001-01-16,11.684761904761904,,
2001-01-17,17.895642857142857,,
2001-01-18,15.430979166666667,,
2001-01-19,,,
2001-01-20,,,
2001-01-21,,,
2001-01-22,,,
2001-01-23,,,
2001-01-24,,,
2001-01-25,,,
2001-01-26,,,
2001-01-27,,,
2001-01-28,,,
2001-01-29,,,
2001-01-30,17.533472222222223,,
2001-01-31,22.28229166666667,,
2001-02-01,14.392395833333333,,
2001-02-02,,,
2001-02-03,,,
2001-02-04,,,
2001-02-05,,,
2001-02-06,,,
2001-02-07,,,
2001-02-08,,,
2001-02-09,,,
2001-02-10,,,
2001-02-11,,,
2001-02-12,,,
2001-02-13,,,
2001-02-14,23.660785714285712,,
2001-02-15,35.665595238095236,,
2001-02-16,20.386041666666667,,
2001-02-17,,,
2001-02-18,,,
2001-02-19,23.2160625,,
2001-02-20,,,
2001-02-21,,,
2001-02-22,,,
2001-02-23,,,
2001-02-24,,,
2001-02-25,,,
2001-02-26,,,
2001-02-27,36.856095238095236,,
2001-02-28,22.308354166666668,,
2001-03-01,,,
2001-03-02,,,
2001-03-03,,,
2001-03-04,14.319916666666668,,
2001-03-05,17.513770833333332,,
2001-03-06,26.473708333333335,,
2001-03-07,,,
2001-03-08,,,
2001-03-09,,,
2001-03-10,,,
2001-03-11,,,
2001-03-12,,,
2001-03-13,,,
2001-03-14,,,
2001-03-15,27.052645833333333,,
2001-03-16,,,
2001-03-17,,,
2001-03-18,,,
2001-03-19,,,
2001-03-20,31.5235,,
2001-03-21,13.989020833333333,,
2001-03-22,,,
2001-03-23,,,
2001-03-24,,,
2001-03-25,,,
2001-03-26,25.7341875,,
2001-03-27,30.20583333333333,,
2001-03-28,51.90120833333333,,
2001-03-29,,,
2001-03-30,,,
2001-03-31,,,
2001-04-01,,,
2001-04-02,90.99059523809524,,
2001-04-03,53.72354761904762,,
2001-04-04,51.848875,,
2001-04-05,,,
2001-04-06,,,
2001-04-07,,,
2001-04-08,,,
2001-04-09,,,
2001-04-10,,,
2001-04-11,,,
2001-04-12,55.299125,,
2001-04-13,,,
2001-04-14,,,
2001-04-15,,,
2001-04-16,,,
2001-04-17,,,
2001-04-18,,,
2001-04-19,,,
2001-04-20,,,
2001-04-21,,,
2001-04-22,,,
2001-04-23,48.9705625,,
2001-04-24,62.94381250000001,,
2001-04-25,,,
2001-04-26,,,
2001-04-27,,,
2001-04-28,,,
2001-04-29,,,
2001-04-30,,,
2001-05-01,48.73510416666666,,
2001-05-02,70.45233333333333,,
2001-05-03,41.55511904761905,,
2001-05-04,,,
2001-05-05,,,
2001-05-06,,,
2001-05-07,,,
2001-05-08,,,
2001-05-09,,,
2001-05-10,,,
2001-05-11,,,
2001-05-12,,,
2001-05-13,,,
2001-05-14,,,
2001-05-15,,,
2001-05-16,88.47322916666667,,
2001-05-17,,,
2001-05-18,,,
2001-05-19,,,
2001-05-20,,,
2001-05-21,99.37,,
2001-05-22,,,
2001-05-23,,,
2001-05-24,,,
2001-05-25,,,
2001-05-26,,,
2001-05-27,,,
2001-05-28,,,
2001-05-29,,,
2001-05-30,,,
2001-05-31,,,
2001-06-01,,,
2001-06-02,,,
2001-06-03,,,
2001-06-04,,,
2001-06-05,,,
2001-06-06,,,
2001-06-07,,,
2001-06-08,59.12266666666667,,
2001-06-09,58.12095238095238,,
2001-06-10,62.6089375,,
2001-06-11,,,
2001-06-12,43.312875,,
2001-06-13,59.736333333333334,,
2001-06-14,42.61944444444445,,
2001-06-15,,,
2001-06-16,,,
2001-06-17,,,
2001-06-18,,,
2001-06-19,,,
2001-06-20,,,
2001-06-21,79.54650000000001,108.17244776004611,0.7353674770904167
2001-06-22,59.7323125,45.437460554558285,1.3146049926860988
2001-06-23,,,
2001-06-24,76.7047619047619,157.07165464912464,0.4883424834105761
2001-06-25,55.70458333333333,193.80860282974098,0.28742059186231933
2001-06-26,69.62708333333333,224.201948255649,0.31055521093840005
2001-06-27,65.30454166666667,67.69366566142739,0.9647068308176717
2001-06-28,,,
2001-06-29,73.49892857142858,126.38344127853533,0.5815550504709311
2001-06-30,,,
2001-07-01,,,
2001-07-02,53.095333333333336,78.37908927974982,0.6774170741360114
2001-07-03,75.57916666666667,155.72752317242148,0.48532953666119394
2001-07-04,76.64483333333332,259.9104247589348,0.2948894158609486
2001-07-05,69.00283333333333,292.80520796135005,0.23566122274178136
2001-07-06,65.515,212.7133021137387,0.30799672304917186
2001-07-07,,,
2001-07-08,,,
2001-07-09,,,
2001-07-10,97.2374375,92.9914651925255,1.0456598065067997
2001-07-11,,,
2001-07-12,,,
2001-07-13,,,
2001-07-14,,,
2001-07-15,,,
2001-07-16,62.373125,78.29574057351363,0.7966349707291737
2001-07-17,89.83666666666667,99.93518549341373,0.8989493162304422
2001-07-18,,,
2001-07-19,,,
2001-07-20,,,
2001-07-21,,,
2001-07-22,,,
2001-07-23,,,
2001-07-24,,,
2001-07-25,95.29890476190477,145.78906397582782,0.6536766350163655
2001-07-26,68.77910416666666,190.73534604364252,0.36059967695200645
2001-07-27,76.77847916666666,146.09501081508498,0.5255379957077831
2001-07-28,,,
2001-07-29,84.47979166666667,124.22396066091426,0.6800603620847788
2001-07-30,70.629125,147.3640793090481,0.47928318306036066
2001-07-31,61.931604166666666,90.7269655516933,0.6826151827086075
2001-08-01,82.259,108.49319550955367,0.758195015029827
2001-08-02,63.86239583333333,114.06185389288778,0.5598926692293172
2001-08-03,,,
2001-08-04,,,
2001-08-05,,,
2001-08-06,,,
2001-08-07,,,
2001-08-08,,,
2001-08-09,,,
2001-08-10,,,
2001-08-11,,,
2001-08-12,,,
2001-08-13,,,
2001-08-14,103.71811904761906,140.13487929192237,0.7401306482132715
